SKU Code,SKU Name,Category,Warehouse Name,City,Stock Quantity,Low Stock Threshold,Stock Status,Cost Price (₹),MRP (₹),Total Inventory Value (₹),Last Restocked Date
VQ-Jamun-Toner-Serum-Moisturizer-Cleanser-001,ComboAndKit,Grooming,Surat main,Surat,344,10,IN STOCK,150,599,51600,2026-08-07
RM-Water-Serum,ComboAndKit,Grooming,Surat main,Surat,313,10,IN STOCK,150,599,46950,2026-08-11
VQ-Rosemary-Water-002,HairTreatment,Grooming,Surat main,Surat,263,10,IN STOCK,150,599,39450,2026-08-11
Foot roll on,PedicureKit,Grooming,Surat main,Surat,180,10,IN STOCK,150,599,27000,2026-07-30
CVBL3-NSH-GT-LBW-PNC,ComboAndKit,Grooming,Surat main,Surat,254,10,IN STOCK,150,599,38100,2026-08-11
DA-NIACINAMIDE-SERUM-002,FaceSerums,Grooming,Surat main,Surat,244,10,IN STOCK,150,599,36600,2026-07-25
SH+CON+OIL,ComboAndKit,Grooming,Surat main,Surat,2,10,LOW STOCK,150,599,300,2026-07-26
DA-SUNSCREEN-SPF-003,Sunscreen,Grooming,Surat main,Surat,176,10,IN STOCK,150,599,26400,2026-07-25
HABL3-RHO-RHS,ComboAndKit,Grooming,Surat main,Surat,294,10,IN STOCK,150,599,44100,2026-08-08
DA-BODY-SCRUB-002,BodyScrub,Grooming,Surat main,Surat,209,10,IN STOCK,150,599,31350,2026-07-27
DR-FOOT-ROLL-ON-001,FootCream,Grooming,Surat main,Surat,45,10,IN STOCK,150,599,6750,2026-08-03
DA-Sunscreen-Body-Lotion-003,Sunscreen,Grooming,Surat main,Surat,310,10,IN STOCK,150,599,46500,2026-07-26
V3-----,ComboAndKit,Grooming,Surat main,Surat,46,10,IN STOCK,150,599,6900,2026-07-31
LEBW-PFS-PM-UC-PCFC,ComboAndKit,Grooming,Surat main,Surat,6,10,LOW STOCK,150,599,900,2026-08-05
VQ-Pineapplecleans-Moisturiz-GuavaMoisturiz-Serum-JamunSerum,ComboAndKit,Grooming,Surat main,Surat,359,10,IN STOCK,150,599,53850,2026-08-01
DA-SUNSCREEN-SPF-002,Sunscreen,Grooming,Surat main,Surat,276,10,IN STOCK,150,599,41400,2026-08-12
DA-KOJIC-SERUM-002,FaceSerums,Grooming,Surat main,Surat,50,10,IN STOCK,150,599,7500,2026-07-27
VQ-Serum-001,HairSerum,Grooming,Surat main,Surat,218,10,IN STOCK,150,599,32700,2026-08-06
KOJIC FACE SERUM + SALISYLIC FACE SERUM,ComboAndKit,Grooming,Surat main,Surat,171,10,IN STOCK,150,599,25650,2026-08-09
Vitamin C Serum 1,FaceCreamAndGel,Grooming,Surat main,Surat,190,10,IN STOCK,150,599,28500,2026-07-26
DA-SALI-FW-03,Facewash,Grooming,Surat main,Surat,6,10,LOW STOCK,150,599,900,2026-08-12
CON-RW-NHS,ComboAndKit,Grooming,Surat main,Surat,313,10,IN STOCK,150,599,46950,2026-07-29
Rosemary Shampoo + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Grooming,Surat main,Surat,197,10,IN STOCK,150,599,29550,2026-07-24
DA-Cleanser-002,Facewash,Grooming,Surat main,Surat,84,10,IN STOCK,150,599,12600,2026-08-06
VITAMIN C 30ML + NIACINAMIDE FACE SERUM,ComboAndKit,Grooming,Surat main,Surat,326,10,IN STOCK,150,599,48900,2026-07-29
DA-Sunscreen-Body-Lotion-002,Sunscreen,Grooming,Surat main,Surat,263,10,IN STOCK,150,599,39450,2026-08-04
Foot-Roll-On-001,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels | Foot Roll On for Dry & Cracked Feet",General,Surat main,Surat,260,10,IN STOCK,150,599,39000,2026-07-25
VEQIX DE-TAN Body Wash Pack of 1,"De-Tan Coffee Body Wash 200ml | Deep Cleansing, Tan Removal & Exfoliation | Removes Dead Skin, Boosts Glow & Smoothness | Sulphate-Free | For Men & Women | All Skin Types",General,Surat main,Surat,7,10,LOW STOCK,150,599,1050,2026-07-28
VQ VITHAN SERUM PACKOF 2,"Veqix Vithan Pro Hair Serum Hair Serum For Dry frizzy Hair, Vitamin E Nourishment, 48 hour frizz free, non-sticky-30 ML",General,Surat main,Surat,145,10,IN STOCK,150,599,21750,2026-08-09
hocl spray - FBA,"Dr. Algar Anti-Acne HOCL Face & Body Spray 200 ml | Hypochlorous Acid Spray for Skin Barrier Support | Helps Soothe Redness, Acne Flare & Skin Irritat",General,Surat main,Surat,168,10,IN STOCK,150,599,25200,2026-08-06
Kojic Acid Serum 2,Dr. Algar Kojic Acid Serum 2% for Hyperpigmentation & Uneven Skin Tone | Helps Reduce Dark Spots | Lightweight Formula for Men & Women,General,Surat main,Surat,193,10,IN STOCK,150,599,28950,2026-07-27
Sunscreen Gel - Pack of 1 - FBA,"Dr. Algar Professional Sunscreen Lotion SPF 55 PA+++ | Broad Spectrum UVA/UVB Sun Protection Cream for Indian Skin | Lightweight, Non-Greasy, Water-Re",General,Surat main,Surat,202,10,IN STOCK,150,599,30300,2026-08-02
VEQIX Hair Care Combo V5,"Rosemary Combo (Pack of 5) - Shampoo + Conditioner + Growth Oil + Serum + Rosemary Water Spray | Promotes Growth, Controls Fall, Strengthens & Fights Frizz | For Men & Women | All Types",General,Surat main,Surat,343,10,IN STOCK,150,599,51450,2026-08-11
VQ+CONDITIONER+1+,"VEQIX Vartha Hair Conditioner,Locks in moisture toKeep Hair Conditioned and Frizz Free-, with Sea Butter, Aloevera, Cooa Butter 100 ML",General,Surat main,Surat,324,10,IN STOCK,150,599,48600,2026-07-25
RD-W84Y-ZS0Q,"20% Urea Foot Cream Roll On 50ml | 2% Lactic Acid, Olive Oil & Vitamin E | Non-Greasy Triple Action Moisturizer | Best Foot Cream for Cracked Heels |",General,Surat main,Surat,8,10,LOW STOCK,150,599,1200,2026-07-31
Veqix SHAMPOO 3,Dhavath Anti Hair Fall Shampoo For Normal - Oily Hair (300 ml),General,Surat main,Surat,279,10,IN STOCK,150,599,41850,2026-08-03
Hair Growth Combo V 4,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set),General,Surat main,Surat,343,10,IN STOCK,150,599,51450,2026-08-03
Rosemary V5 Combo,"Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",General,Surat main,Surat,89,10,IN STOCK,150,599,13350,2026-08-06
VQ-Hair-Removal-Sprey-100ml,Hair Removal Spray for Men and Women | Spray (100 ml),General,Surat main,Surat,106,10,IN STOCK,150,599,15900,2026-07-24
ros hair oil+dha shampoo+dhav con,Hair Oil with Dhavath Shampoo & Dhavath Conditioner,General,Surat main,Surat,197,10,IN STOCK,150,599,29550,2026-07-30
VQ SERUM =3,Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML),General,Surat main,Surat,97,10,IN STOCK,150,599,14550,2026-07-31
Shampoo + Serum,Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set),General,Surat main,Surat,6,10,LOW STOCK,150,599,900,2026-08-07
Shampoo+Dhavath con+rosemary hair oil,Anti-Hairfall Shampoo with Dhavath Nourishing Conditioner & Rosemary Hair Oil,General,Surat main,Surat,130,10,IN STOCK,150,599,19500,2026-07-27
Rosemary Shampoo,Hair Growth Shampoo For Normal & Oily Hair,General,Surat main,Surat,370,10,IN STOCK,150,599,55500,2026-07-29
Shampoo+Hair Oil+Serum,Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set),General,Surat main,Surat,41,10,IN STOCK,150,599,6150,2026-08-07
Rosemary Hair Oil + Dhavath Conditioner,Hair Oil with Dhavath Conditioner & Rosemary Water,General,Surat main,Surat,273,10,IN STOCK,150,599,40950,2026-08-04
Veqix SHAMPOO 2,Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml),General,Surat main,Surat,186,10,IN STOCK,150,599,27900,2026-08-07
Hibiscus V5 Combo,"Hibiscus Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Hibiscus Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types",General,Surat main,Surat,165,10,IN STOCK,150,599,24750,2026-08-01
RM_Conditioner,"Hair Growth & Repair Conditioner | Natural Nourishment for Strong, Shiny Hair",General,Surat main,Surat,3,10,LOW STOCK,150,599,450,2026-07-28
VQ-Neem-Conditioner-003,"Veqix Neem Anti-Dandruff Conditioner 200ml | Controls Dandruff & Frizz | Neem, Aloe Vera & Vitamin C Conditioner for Healthy Scalp & Smooth Hair",General,Surat main,Surat,259,10,IN STOCK,150,599,38850,2026-08-06
Dhavath Shampoo - Dhavath Conditioner - Rosemary Water,Water with Dhavath Shampoo & Dhavath Conditioner,General,Surat main,Surat,309,10,IN STOCK,150,599,46350,2026-07-30
VQ-Hibiscus-Conditioner-003,"Veqix Hibiscus Bond Repair Conditioner 200ml | Deep Repair & Frizz Control | Hibiscus Extract & Almond Oil Conditioner for Smooth, Strong Hair",General,Surat main,Surat,355,10,IN STOCK,150,599,53250,2026-08-03
VQ-Neem-Shampoo-003,Neem Anti-Dandruff Advanced Shampoo | Piractone Olamine & Pentavitin Paraben & Sulphate Free | For Men & Women | 200ml,General,Surat main,Surat,197,10,IN STOCK,150,599,29550,2026-08-01
VQ-Flaxseed-Gel-01,veqix Flaxseed Gel (300 ml) | For Hair & Skin | Frizz-Control | Smoothening | Moisture Rich | Soft Long Hair,General,Surat main,Surat,158,10,IN STOCK,150,599,23700,2026-07-26
Shampoo + Conditioner,Dhavath Hair Fall Shampoo & Vartha Hydrating No-Frizz Hair Conditioner  (2 Items in the set),General,Surat main,Surat,301,10,IN STOCK,150,599,45150,2026-08-04
Shampoo + Conditioner - 001,"Veqix Hairfall Control Shampoo & Conditioner Combo with Aloe, Bhringraj & Rice Water for Strong Silky Hair 200ml",General,Surat main,Surat,8,10,LOW STOCK,150,599,1200,2026-07-30
De-Tan Coffee BodyWash-5,"De-Tan Coffee Body Wash for Men & Women | Deep Cleansing & Tan Removal | Exfoliates Dead Skin, Boosts Glow & Smoothness | All Skin Types | 200ml |Pack of 5",General,Surat main,Surat,341,10,IN STOCK,150,599,51150,2026-08-05
VQ-Rosemary-Water-003,"Rosemaryy Water Hair Spray | 100% Pure & Natural | Promotes Hair Growth, Reduces Hairfall & Strengthens Roots | Suitable for All Hair Types [ 100ML, PACK OF 3] hair lotion and tonic271",General,Surat main,Surat,61,10,IN STOCK,150,599,9150,2026-08-06
VQ-Hibiscus-Shampoo-003,"Veqix Hibiscus Bond Repair Shampoo 200ml | Strengthens Hair Bonds | Smooth, Frizz-Free & Damage Repair Shampoo with Hibiscus Extract & Rice Water",General,Surat main,Surat,55,10,IN STOCK,150,599,8250,2026-08-10
VQ-Kojic-Acid-Serum-Niacinamide-Acid-Serum,"Veqix Kojic Acid Face Serum (30ml) + Niacinamide Face Serum (30ml) Combo | Brightening, Dark Spot Reduction, Pore Minimizing & Oil Control Serums | For All Skin Types",General,Surat main,Surat,249,10,IN STOCK,150,599,37350,2026-07-26
RM_HAIR_SERUM,"Hair Growth Serum | Reduces Hair Fall, Strengthens Roots & Boosts Shine (30 ml)",General,Surat main,Surat,236,10,IN STOCK,150,599,35400,2026-08-11
De-Tan Coffee Body Wash-3,"De-Tan Coffee Body Wash for Men & Women | Deep Cleansing & Tan Removal | Exfoliates Dead Skin, Boosts Glow & Smoothness | All Skin Types | 200ml || Pack of 3",General,Surat main,Surat,69,10,IN STOCK,150,599,10350,2026-08-01
VQ-Pineapple-Toner-Serum-Moisturizer-001,"Pineapple Skincare Combo | Clarifying Fruit Toner, De-Pigmentation Face Serum & Glow Moisturizer | Brightening, Dark Spot Repair | For All Skin Types",General,Surat main,Surat,1,10,LOW STOCK,150,599,150,2026-08-09
VQ-Jamun-Toner-Serum-Moisturizer-001,Jamun ClearSkin Acne Care Combo | Clarifying Toner 100ml + Active Acne Moisturizer 50g + Acne Marks Face Serum 30ml | For Oily & Acne-Prone Skin,General,Surat main,Surat,103,10,IN STOCK,150,599,15450,2026-08-05
RM-Shampoo+RM-Hair-Serum,Anti-Hairfall Shampoo with Rosemary Hair Serum,General,Surat main,Surat,367,10,IN STOCK,150,599,55050,2026-07-24
RM_Hair_Oil,"Hair & Scalp Oil | Deep Nourishment, Hair Fall Control & Growth Support",General,Surat main,Surat,360,10,IN STOCK,150,599,54000,2026-08-10
Pineapple-Toner-Serum-Moisturizer-Jamun-Moisturizer,"Pineapple & Jamun Glow Skincare Combo (Pack of 4) | Pineapple Clarifying Toner 100ml + Pineapple Glow Moisturizer 50g + Jamun Active Acne Moisturizer 50g + Pineapple De-Pigmentation Face Serum 30ml | Acne, Oil Control & Dark Spot Care",General,Surat main,Surat,60,10,IN STOCK,150,599,9000,2026-07-31
VEQIX HAIR OIL 1,Praya HairOil for Hair fall Control and Growth Hair Oil With Neem Lotus Tea Tree Hair Oil ( 100 ML),General,Surat main,Surat,96,10,IN STOCK,150,599,14400,2026-07-29
RM-Hair-Oil-DH-Serum,Hair Oil with Rosemary Pro Hair Serum,General,Surat main,Surat,263,10,IN STOCK,150,599,39450,2026-07-28
VQ-Honey-Almond-Body-Lotion-003,Veqix Almond Nourshing Body Lotion 900ml,General,Surat main,Surat,4,10,LOW STOCK,150,599,600,2026-07-28
VQ-Flaxseed-Gel-03,Veqix Flaxseed Gel (300 ml) | For Hair & Skin | Frizz-Control | Smoothening | Moisture Rich | Soft Long Hair,General,Surat main,Surat,56,10,IN STOCK,150,599,8400,2026-07-24
