"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"READY_TO_SHIP","313883550364875840_1","140303371","2026-07-29","Ad order","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313883425095013888_1","140303371","2026-07-29","Ad order","Telangana","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"READY_TO_SHIP","313884633796117184_1","239430270","2026-07-29","","Telangana","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313886975827845888_1","239430270","2026-07-29","Ad order","Tamil Nadu","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313887153884380224_1","239430270","2026-07-29","Ad order","Rajasthan","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313889157088662144_1","221051510","2026-07-29","","Karnataka","Hair Oil with Dhavath Conditioner & Rosemary Water","Rosemary Hair Oil + Dhavath Conditioner","Free Size","1","95.0","95.0",
"CANCELLED","313889596068274944_1","239430270","2026-07-29","","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","161.0",
"READY_TO_SHIP","313889984121524864_1","140303371","2026-07-29","Ad order","Punjab","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"CANCELLED","313890751364584064_1","140303416","2026-07-29","","Jammu & Kashmir","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313891727588342976_1","239430270","2026-07-29","Ad order","West Bengal","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313892485860360896_1","139587086","2026-07-29","","Maharashtra","Dhavath Anti Hair Fall Shampoo For Normal - Oily Hair (300 ml)","Veqix SHAMPOO 3","Free Size","1","114.0","112.0",
"READY_TO_SHIP","313892458437426240_1","239430270","2026-07-29","Ad order","Andhra Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","151.0",
"READY_TO_SHIP","313894569541096960_1","239430270","2026-07-29","","Andhra Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313896133801163968_1","139587086","2026-07-29","","Odisha","Dhavath Hair Fall & Hair Growth Shampoo For Normal - Oily Hair  (200 ml)","Veqix SHAMPOO 2","Free Size","1","91.0","91.0",
"READY_TO_SHIP","313896329696707264_1","140303371","2026-07-29","Ad order","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","176.0","176.0",
"READY_TO_SHIP","313896901866881728_1","140303371","2026-07-29","Ad order","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313897326813632000_1","534339410","2026-07-29","","Andhra Pradesh","Hibiscus Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Hibiscus Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Hibiscus V5 Combo","Free Size","1","187.0","187.0",
"READY_TO_SHIP","313897948958938624_1","140303416","2026-07-29","","Maharashtra","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","90.0",
"READY_TO_SHIP","313899032767092224_1","140303365","2026-07-29","","Odisha","Ayurvedic Vithan Pro Hair Serum for Hair Growth (90 ML)","VQ SERUM =3","Free Size","1","125.0","109.0",
"READY_TO_SHIP","313899886591812352_1","217702155","2026-07-29","","Uttar Pradesh","Hair Growth & Repair Conditioner | Natural Nourishment for Strong, Shiny Hair","RM_Conditioner","Free Size","1","58.0","58.0",
"READY_TO_SHIP","313900139604753472_1","239430270","2026-07-29","Ad order","West Bengal","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313900770697007744_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313901532159818944_1","140303416","2026-07-29","","Uttar Pradesh","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313902050718896769_1","140303371","2026-07-29","Ad order","Haryana","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"CANCELLED","313903143666438784_1","140303416","2026-07-29","","Jharkhand","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313904030325605056_1","140303416","2026-07-29","","Uttar Pradesh","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313904707570967296_1","140303371","2026-07-29","Ad order","West Bengal","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313905589209473792_1","140303371","2026-07-29","Ad order","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313906962383176384_1","139587086","2026-07-29","","Uttar Pradesh","Dhavath Anti Hair Fall Shampoo For Normal - Oily Hair (300 ml)","Veqix SHAMPOO 3","Free Size","1","125.0","123.0",
"READY_TO_SHIP","313907860450255616_1","140303426","2026-07-29","","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","114.0","112.0",
"READY_TO_SHIP","313908295668454016_1","140303371","2026-07-29","","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","138.0",
"READY_TO_SHIP","313911778543076032_1","239430270","2026-07-29","","Odisha","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","176.0",
"READY_TO_SHIP","313913620858394112_1","239430270","2026-07-29","Ad order","Rajasthan","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313915978273930304_1","239430270","2026-07-29","Ad order","Maharashtra","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","164.0",
"CANCELLED","313916866762310336_1","239430270","2026-07-29","Ad order","Punjab","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313917896593390784_1","239430270","2026-07-29","Ad order","Bihar","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313920263457330688_1","141003966","2026-07-29","","Uttar Pradesh","Hair Growth Combo","V4","Free Size","1","145.0","145.0",
"READY_TO_SHIP","313920378581668480_1","239430270","2026-07-29","Ad order","Assam","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313922289540125312_1","262637098","2026-07-29","Ad order","Bihar","Veqix Neem Anti-Dandruff Conditioner 200ml | Controls Dandruff & Frizz | Neem, Aloe Vera & Vitamin C Conditioner for Healthy Scalp & Smooth Hair","VQ-Neem-Conditioner-003","Free Size","1","150.0","147.0",
"READY_TO_SHIP","313925673731084928_1","239430270","2026-07-29","Ad order","Maharashtra","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313927452406306304_1","140303371","2026-07-29","Ad order","Delhi","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313931573593783488_1","239430270","2026-07-29","Ad order","Himachal Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","176.0","151.0",
"READY_TO_SHIP","313933097078817472_1","239430270","2026-07-29","","Haryana","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313933687406056064_1","140303416","2026-07-29","","Odisha","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313934536072700672_1","140303426","2026-07-29","","West Bengal","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","123.0",
"READY_TO_SHIP","313937885849912000_1","140303371","2026-07-29","","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313939120287530048_1","239430270","2026-07-29","","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313939130544018944_1","140303416","2026-07-29","Ad order","Gujarat","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","90.0","89.0",
"READY_TO_SHIP","313939125572412160_1","221051514","2026-07-29","","Maharashtra","Water with Dhavath Shampoo & Dhavath Conditioner","Dhavath Shampoo - Dhavath Conditioner - Rosemary Water","Free Size","1","125.0","125.0",
"READY_TO_SHIP","313939281260723392_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","161.0",
"READY_TO_SHIP","313939467237578240_1","140303371","2026-07-29","Ad order","Maharashtra","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313940385467192832_1","139587086","2026-07-29","","Karnataka","Dhavath Anti Hair Fall Shampoo For Normal - Oily Hair (300 ml)","Veqix SHAMPOO 3","Free Size","1","125.0","115.0",
"CANCELLED","313941380384543360_1","239430270","2026-07-29","","Tamil Nadu","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313941639013278464_1","239430270","2026-07-29","","Bihar","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313942947078800064_1","140303371","2026-07-29","Ad order","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313945354122756800_1","239430270","2026-07-29","","Telangana","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"CANCELLED","313945469625500352_1","140303426","2026-07-29","","Karnataka","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","125.0",
"READY_TO_SHIP","313950777160180480_1","140303371","2026-07-29","","Madhya Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","187.0",
"READY_TO_SHIP","313950992965450816_1","239430270","2026-07-29","","Odisha","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313951400446775936_1","140303371","2026-07-29","Ad order","Uttarakhand","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313952999726064384_1","140303426","2026-07-29","","Bihar","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","125.0",
"READY_TO_SHIP","313953235849118400_1","140303371","2026-07-29","Ad order","Andhra Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum | Hair Conditioner (4 Items in the set)","Hair Growth Combo V 4","Free Size","1","187.0","146.0",
"READY_TO_SHIP","313953843624164544_1","140303426","2026-07-29","","Karnataka","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","125.0",
"READY_TO_SHIP","313954859569894912_1","239430270","2026-07-29","","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313956894103714881_1","140303416","2026-07-29","","Rajasthan","Dhavath Hair Fall Shampoo & Vithan Pro Hair Growth Serum  (2 Items in the set)","Shampoo + Serum","Free Size","1","77.0","67.0",
"READY_TO_SHIP","313961470001795712_1","140303426","2026-07-29","","Uttar Pradesh","Hair Growth Combo | Hair Fall Hair Oil | Hair Fall Shampoo | Hair Growth Serum  (3 Items in the set)","Shampoo+Hair Oil+Serum","Free Size","1","125.0","123.0",
"READY_TO_SHIP","313962285567431296_1","239430270","2026-07-29","Ad order","Rajasthan","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","161.0",
"READY_TO_SHIP","313962811499598464_1","239430270","2026-07-29","Ad order","Uttar Pradesh","Rosemary Hair Care Combo | Shampoo, Conditioner, Hair Oil, Hair Serum & Rosemary Water | Hair Growth, Strength & Anti-Frizz Treatment for All Hair Types","Rosemary V5 Combo","Free Size","1","187.0","174.0",
"READY_TO_SHIP","313962723671791104_1","262622777","2026-07-29","","Chhattisgarh","Veqix Hibiscus Bond Repair Conditioner 200ml | Deep Repair & Frizz Control | Hibiscus Extract & Almond Oil Conditioner for Smooth, Strong Hair","VQ-Hibiscus-Conditioner-003","Free Size","1","145.0","129.0",
