Date,SKU Code,SKU Name,Platform,Ad Spend (₹),Impressions,Clicks,CTR,Ad Orders,Attributed Revenue (₹),ROAS,ACoS
2026-08-05,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Myntra,877,14909,797,5.35%,27,11313,12.90x,7.8%
2026-08-04,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Own Website,1188,36828,761,2.07%,29,12151,10.23x,9.8%
2026-08-03,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Amazon,361,10469,540,5.16%,73,30587,84.73x,1.2%
2026-08-02,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Flipkart,1130,38420,1446,3.76%,162,67878,60.07x,1.7%
2026-08-01,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Meesho,389,13615,642,4.72%,59,24721,63.55x,1.6%
2026-07-31,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Myntra,979,34265,1057,3.08%,86,36034,36.81x,2.7%
2026-07-30,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Own Website,548,14796,700,4.73%,72,30168,55.05x,1.8%
2026-07-29,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Amazon,980,35280,1455,4.12%,122,51118,52.16x,1.9%
2026-07-28,RM-Shampoo-Con-Oil-Serum-Water,ComboAndKit,Flipkart,615,11685,484,4.14%,52,21788,35.43x,2.8%
2026-08-11,DA-BODY-SCRUB-001,BodyScrub,Myntra,1210,30250,1006,3.33%,103,43157,35.67x,2.8%
2026-08-10,DA-BODY-SCRUB-001,BodyScrub,Own Website,179,2685,146,5.44%,7,2933,16.39x,6.1%
2026-08-09,DA-BODY-SCRUB-001,BodyScrub,Amazon,1278,33228,1571,4.73%,85,35615,27.87x,3.6%
2026-08-08,DA-BODY-SCRUB-001,BodyScrub,Flipkart,686,15092,227,1.50%,25,10475,15.27x,6.5%
2026-08-07,DA-BODY-SCRUB-001,BodyScrub,Meesho,634,10144,314,3.10%,22,9218,14.54x,6.9%
2026-08-06,DA-BODY-SCRUB-001,BodyScrub,Myntra,513,18981,727,3.83%,84,35196,68.61x,1.5%
2026-08-05,DA-BODY-SCRUB-001,BodyScrub,Own Website,464,16240,849,5.23%,32,13408,28.90x,3.5%
2026-08-04,DA-BODY-SCRUB-001,BodyScrub,Amazon,1019,27513,1178,4.28%,73,30587,30.02x,3.3%
2026-08-03,DA-BODY-SCRUB-001,BodyScrub,Flipkart,682,11594,388,3.35%,37,15503,22.73x,4.4%
2026-08-02,DA-BODY-SCRUB-001,BodyScrub,Meesho,992,27776,1105,3.98%,130,54470,54.91x,1.8%
2026-08-01,DA-BODY-SCRUB-001,BodyScrub,Myntra,216,3672,115,3.13%,5,2095,9.70x,10.3%
2026-07-31,DA-BODY-SCRUB-001,BodyScrub,Own Website,625,23125,1185,5.12%,42,17598,28.16x,3.6%
2026-07-30,DA-BODY-SCRUB-001,BodyScrub,Amazon,443,16834,566,3.36%,55,23045,52.02x,1.9%
2026-07-29,DA-BODY-SCRUB-001,BodyScrub,Flipkart,294,9702,438,4.51%,53,22207,75.53x,1.3%
2026-07-28,DA-BODY-SCRUB-001,BodyScrub,Meesho,523,9937,360,3.62%,49,20531,39.26x,2.5%
2026-08-11,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Own Website,1292,34884,1044,2.99%,87,36453,28.21x,3.5%
2026-08-10,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Amazon,1196,40664,1089,2.68%,51,21369,17.87x,5.6%
2026-08-09,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Flipkart,864,32832,1300,3.96%,190,79610,92.14x,1.1%
2026-08-08,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Meesho,274,4110,144,3.50%,19,7961,29.05x,3.4%
2026-08-07,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Myntra,340,10880,544,5.00%,52,21788,64.08x,1.6%
2026-08-06,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Own Website,486,13122,643,4.90%,54,22626,46.56x,2.1%
2026-08-05,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Amazon,769,29222,1137,3.89%,85,35615,46.31x,2.2%
2026-08-04,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Flipkart,714,19278,697,3.62%,71,29749,41.67x,2.4%
2026-08-03,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Meesho,533,9061,377,4.16%,23,9637,18.08x,5.5%
2026-08-02,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Myntra,206,7828,301,3.85%,33,13827,67.12x,1.5%
2026-08-01,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Own Website,857,18854,834,4.42%,73,30587,35.69x,2.8%
2026-07-31,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Amazon,1215,29160,1024,3.51%,63,26397,21.73x,4.6%
2026-07-30,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Flipkart,1178,45942,1542,3.36%,121,50699,43.04x,2.3%
2026-07-29,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Meesho,244,8784,213,2.42%,16,6704,27.48x,3.6%
2026-07-28,VQ-Guava cleanser-Moisturizer-Serum-Pineapple Moisturizer,ComboAndKit,Myntra,1291,25820,543,2.10%,28,11732,9.09x,11.0%
2026-08-11,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Amazon,325,6500,344,5.29%,31,12989,39.97x,2.5%
2026-08-10,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Flipkart,691,26258,758,2.89%,28,11732,16.98x,5.9%
2026-08-09,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Meesho,1157,20826,438,2.10%,56,23464,20.28x,4.9%
2026-08-08,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Myntra,944,14160,345,2.44%,34,14246,15.09x,6.6%
2026-08-07,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Own Website,636,24804,1161,4.68%,144,60336,94.87x,1.1%
2026-08-06,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Amazon,206,4120,154,3.74%,9,3771,18.31x,5.5%
2026-08-05,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Flipkart,1174,34046,1127,3.31%,82,34358,29.27x,3.4%
2026-08-04,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Meesho,1106,19908,916,4.60%,108,45252,40.92x,2.4%
2026-08-03,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Myntra,768,25344,850,3.35%,117,49023,63.83x,1.6%
2026-08-02,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Own Website,1160,34800,552,1.59%,76,31844,27.45x,3.6%
2026-08-01,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Amazon,1236,32136,918,2.86%,125,52375,42.37x,2.4%
2026-07-31,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Flipkart,662,17212,771,4.48%,92,38548,58.23x,1.7%
2026-07-30,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Meesho,1239,40887,1059,2.59%,59,24721,19.95x,5.0%
2026-07-29,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Myntra,886,29238,1602,5.48%,133,55727,62.90x,1.6%
2026-07-28,RM-Shmapoo-Con-Oil-Serum,ComboAndKit,Own Website,472,7552,194,2.57%,9,3771,7.99x,12.5%
2026-08-11,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Flipkart,912,15504,419,2.70%,58,24302,26.65x,3.8%
2026-08-10,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Meesho,357,9639,168,1.74%,13,5447,15.26x,6.6%
2026-08-09,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Myntra,738,17712,479,2.70%,72,30168,40.88x,2.4%
2026-08-08,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Own Website,281,8992,209,2.32%,29,12151,43.24x,2.3%
2026-08-07,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Amazon,780,19500,742,3.81%,28,11732,15.04x,6.6%
2026-08-06,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Flipkart,420,10080,529,5.25%,32,13408,31.92x,3.1%
2026-08-05,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Meesho,642,23754,539,2.27%,48,20112,31.33x,3.2%
2026-08-04,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Myntra,1214,46132,1605,3.48%,67,28073,23.12x,4.3%
2026-08-03,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Own Website,310,11470,444,3.87%,25,10475,33.79x,3.0%
2026-08-02,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Amazon,530,12190,443,3.63%,42,17598,33.20x,3.0%
2026-08-01,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Flipkart,1212,32724,1346,4.11%,157,65783,54.28x,1.8%
2026-07-31,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Meesho,408,15912,595,3.74%,72,30168,73.94x,1.4%
2026-07-30,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Myntra,462,14784,359,2.43%,31,12989,28.11x,3.6%
2026-07-29,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Own Website,580,13340,456,3.42%,59,24721,42.62x,2.3%
2026-07-28,SUNSCREEN 50ML + SALISYLIC FACE WASH,ComboAndKit,Amazon,1060,22260,488,2.19%,68,28492,26.88x,3.7%
2026-08-11,DA-SALI-FW-02,Facewash,Meesho,1333,25327,1063,4.20%,158,66202,49.66x,2.0%
2026-08-10,DA-SALI-FW-02,Facewash,Myntra,684,13680,744,5.44%,53,22207,32.47x,3.1%
2026-08-09,DA-SALI-FW-02,Facewash,Own Website,989,25714,1082,4.21%,145,60755,61.43x,1.6%
2026-08-08,DA-SALI-FW-02,Facewash,Amazon,872,20928,891,4.26%,110,46090,52.86x,1.9%
2026-08-07,DA-SALI-FW-02,Facewash,Flipkart,855,29925,1253,4.19%,156,65364,76.45x,1.3%
2026-08-06,DA-SALI-FW-02,Facewash,Meesho,1062,36108,1896,5.25%,78,32682,30.77x,3.2%
2026-08-05,DA-SALI-FW-02,Facewash,Myntra,628,20724,1022,4.93%,74,31006,49.37x,2.0%
2026-08-04,DA-SALI-FW-02,Facewash,Own Website,570,10830,166,1.53%,15,6285,11.03x,9.1%
2026-08-03,DA-SALI-FW-02,Facewash,Amazon,311,6531,297,4.55%,23,9637,30.99x,3.2%
2026-08-02,DA-SALI-FW-02,Facewash,Flipkart,1338,48168,2513,5.22%,335,140365,104.91x,1.0%
2026-08-01,DA-SALI-FW-02,Facewash,Meesho,512,14336,467,3.26%,22,9218,18.00x,5.6%
2026-07-31,DA-SALI-FW-02,Facewash,Myntra,554,14958,443,2.96%,35,14665,26.47x,3.8%
2026-07-30,DA-SALI-FW-02,Facewash,Own Website,749,12733,455,3.57%,30,12570,16.78x,6.0%
2026-07-29,DA-SALI-FW-02,Facewash,Amazon,1298,37642,1286,3.42%,145,60755,46.81x,2.1%
2026-07-28,DA-SALI-FW-02,Facewash,Flipkart,919,22975,1011,4.40%,69,28911,31.46x,3.2%
2026-08-11,V4,ComboAndKit,Myntra,566,17546,781,4.45%,57,23883,42.20x,2.4%
2026-08-10,V4,ComboAndKit,Own Website,877,28941,1161,4.01%,48,20112,22.93x,4.4%
2026-08-09,V4,ComboAndKit,Amazon,358,13604,479,3.52%,29,12151,33.94x,2.9%
2026-08-08,V4,ComboAndKit,Flipkart,306,10710,486,4.54%,65,27235,89.00x,1.1%
2026-08-07,V4,ComboAndKit,Meesho,1286,46296,1438,3.11%,99,41481,32.26x,3.1%
2026-08-06,V4,ComboAndKit,Myntra,255,9180,189,2.06%,14,5866,23.00x,4.3%
2026-08-05,V4,ComboAndKit,Own Website,221,8177,279,3.41%,34,14246,64.46x,1.6%
2026-08-04,V4,ComboAndKit,Amazon,523,15690,655,4.17%,57,23883,45.67x,2.2%
2026-08-03,V4,ComboAndKit,Flipkart,595,20825,844,4.05%,92,38548,64.79x,1.5%
2026-08-02,V4,ComboAndKit,Meesho,308,6160,146,2.37%,14,5866,19.05x,5.3%
2026-08-01,V4,ComboAndKit,Myntra,252,7812,207,2.65%,19,7961,31.59x,3.2%
2026-07-31,V4,ComboAndKit,Own Website,1291,25820,896,3.47%,102,42738,33.10x,3.0%
2026-07-30,V4,ComboAndKit,Amazon,603,21708,744,3.43%,53,22207,36.83x,2.7%
2026-07-29,V4,ComboAndKit,Flipkart,1282,48716,2279,4.68%,185,77515,60.46x,1.7%
2026-07-28,V4,ComboAndKit,Meesho,1308,39240,1114,2.84%,164,68716,52.54x,1.9%
2026-08-11,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Own Website,191,3247,85,2.62%,11,4609,24.13x,4.1%
2026-08-10,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Amazon,435,6960,239,3.43%,17,7123,16.37x,6.1%
2026-08-09,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Flipkart,358,12172,411,3.38%,38,15922,44.47x,2.2%
2026-08-08,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Meesho,1103,24266,794,3.27%,117,49023,44.45x,2.2%
2026-08-07,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Myntra,233,7456,391,5.24%,23,9637,41.36x,2.4%
2026-08-06,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Own Website,933,17727,816,4.60%,93,38967,41.77x,2.4%
2026-08-05,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Amazon,703,27417,1238,4.52%,152,63688,90.59x,1.1%
2026-08-04,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Flipkart,274,8494,213,2.51%,11,4609,16.82x,5.9%
2026-08-03,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Meesho,944,28320,450,1.59%,18,7542,7.99x,12.5%
2026-08-02,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Myntra,346,9342,360,3.85%,21,8799,25.43x,3.9%
2026-08-01,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Own Website,971,14565,743,5.10%,82,34358,35.38x,2.8%
2026-07-31,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Amazon,423,16074,242,1.51%,9,3771,8.91x,11.2%
2026-07-30,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Flipkart,1155,31185,1648,5.28%,227,95113,82.35x,1.2%
2026-07-29,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Meesho,463,10186,434,4.26%,20,8380,18.10x,5.5%
2026-07-28,FOOT RO + BARRIER REPAIR MOISTURIZER,ComboAndKit,Myntra,1162,32536,511,1.57%,54,22626,19.47x,5.1%
2026-08-11,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,210,4830,126,2.61%,10,4190,19.95x,5.0%
2026-08-10,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,1010,35350,757,2.14%,49,20531,20.33x,4.9%
2026-08-09,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,592,21904,768,3.51%,113,47347,79.98x,1.3%
2026-08-08,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,280,10360,514,4.96%,46,19274,68.84x,1.5%
2026-08-07,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,266,3990,66,1.65%,3,1257,4.73x,21.2%
2026-08-06,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,1118,21242,449,2.11%,49,20531,18.36x,5.4%
2026-08-05,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,668,24048,1001,4.16%,140,58660,87.81x,1.1%
2026-08-04,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,848,26288,473,1.80%,37,15503,18.28x,5.5%
2026-08-03,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,189,4725,160,3.39%,20,8380,44.34x,2.3%
2026-08-02,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,502,19076,1030,5.40%,65,27235,54.25x,1.8%
2026-08-01,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Amazon,206,3914,211,5.39%,22,9218,44.75x,2.2%
2026-07-31,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Flipkart,686,21266,742,3.49%,62,25978,37.87x,2.6%
2026-07-30,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Meesho,542,11924,358,3.00%,53,22207,40.97x,2.4%
2026-07-29,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Myntra,1187,21366,457,2.14%,67,28073,23.65x,4.2%
2026-07-28,Rosemary Conditioner + Praya Hair Oil + Praya Hair Serum,ComboAndKit,Own Website,1127,30429,569,1.87%,26,10894,9.67x,10.3%
2026-08-11,FBL-NSH-RCON-GT-PT,ComboAndKit,Flipkart,175,5600,154,2.75%,15,6285,35.91x,2.8%
2026-08-10,FBL-NSH-RCON-GT-PT,ComboAndKit,Meesho,502,19578,499,2.55%,25,10475,20.87x,4.8%
2026-08-09,FBL-NSH-RCON-GT-PT,ComboAndKit,Myntra,350,5250,236,4.50%,22,9218,26.34x,3.8%
2026-08-08,FBL-NSH-RCON-GT-PT,ComboAndKit,Own Website,1316,22372,1209,5.40%,181,75839,57.63x,1.7%
2026-08-07,FBL-NSH-RCON-GT-PT,ComboAndKit,Amazon,518,17612,272,1.54%,11,4609,8.90x,11.2%
2026-08-06,FBL-NSH-RCON-GT-PT,ComboAndKit,Flipkart,722,14440,350,2.42%,51,21369,29.60x,3.4%
2026-08-05,FBL-NSH-RCON-GT-PT,ComboAndKit,Meesho,503,7545,267,3.54%,33,13827,27.49x,3.6%
2026-08-04,FBL-NSH-RCON-GT-PT,ComboAndKit,Myntra,992,19840,425,2.14%,25,10475,10.56x,9.5%
2026-08-03,FBL-NSH-RCON-GT-PT,ComboAndKit,Own Website,368,7728,188,2.43%,22,9218,25.05x,4.0%
2026-08-02,FBL-NSH-RCON-GT-PT,ComboAndKit,Amazon,1023,32736,1015,3.10%,60,25140,24.57x,4.1%
2026-08-01,FBL-NSH-RCON-GT-PT,ComboAndKit,Flipkart,373,6341,144,2.27%,9,3771,10.11x,9.9%
2026-07-31,FBL-NSH-RCON-GT-PT,ComboAndKit,Meesho,891,27621,427,1.55%,38,15922,17.87x,5.6%
2026-07-30,FBL-NSH-RCON-GT-PT,ComboAndKit,Myntra,365,12775,604,4.73%,30,12570,34.44x,2.9%
2026-07-29,FBL-NSH-RCON-GT-PT,ComboAndKit,Own Website,275,9075,327,3.60%,35,14665,53.33x,1.9%
2026-07-28,FBL-NSH-RCON-GT-PT,ComboAndKit,Amazon,1259,22662,962,4.24%,81,33939,26.96x,3.7%
2026-08-11,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Meesho,580,20880,604,2.89%,90,37710,65.02x,1.5%
2026-08-10,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Myntra,1071,22491,615,2.73%,53,22207,20.73x,4.8%
2026-08-09,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Own Website,601,18030,665,3.69%,70,29330,48.80x,2.0%
2026-08-08,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Amazon,664,24568,742,3.02%,52,21788,32.81x,3.0%
2026-08-07,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Flipkart,1229,23351,997,4.27%,78,32682,26.59x,3.8%
2026-08-06,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Meesho,585,13455,424,3.15%,36,15084,25.78x,3.9%
2026-08-05,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Myntra,794,25408,1315,5.18%,52,21788,27.44x,3.6%
2026-08-04,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Own Website,734,18350,756,4.12%,108,45252,61.65x,1.6%
2026-08-03,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Amazon,1062,18054,785,4.35%,83,34777,32.75x,3.1%
2026-08-02,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Flipkart,177,5487,129,2.35%,10,4190,23.67x,4.2%
2026-08-01,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Meesho,1008,28224,880,3.12%,123,51537,51.13x,2.0%
2026-07-31,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Myntra,1250,20000,856,4.28%,111,46509,37.21x,2.7%
2026-07-30,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Own Website,581,11039,240,2.17%,20,8380,14.42x,6.9%
2026-07-29,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Amazon,301,4515,234,5.18%,25,10475,34.80x,2.9%
2026-07-28,VQ-Guava-Serum-Jamun-Moisturizer-Pineapple-Serum,ComboAndKit,Flipkart,505,13130,694,5.29%,27,11313,22.40x,4.5%
2026-08-11,DA-FOOT-ROLL-ON-002,PedicureKit,Myntra,1324,41044,1748,4.26%,137,57403,43.36x,2.3%
2026-08-10,DA-FOOT-ROLL-ON-002,PedicureKit,Own Website,188,5640,270,4.79%,40,16760,89.15x,1.1%
2026-08-09,DA-FOOT-ROLL-ON-002,PedicureKit,Amazon,936,34632,1060,3.06%,118,49442,52.82x,1.9%
2026-08-08,DA-FOOT-ROLL-ON-002,PedicureKit,Flipkart,1207,26554,1298,4.89%,82,34358,28.47x,3.5%
2026-08-07,DA-FOOT-ROLL-ON-002,PedicureKit,Meesho,1072,26800,1242,4.63%,173,72487,67.62x,1.5%
2026-08-06,DA-FOOT-ROLL-ON-002,PedicureKit,Myntra,955,29605,1015,3.43%,142,59498,62.30x,1.6%
2026-08-05,DA-FOOT-ROLL-ON-002,PedicureKit,Own Website,699,15378,311,2.02%,37,15503,22.18x,4.5%
2026-08-04,DA-FOOT-ROLL-ON-002,PedicureKit,Amazon,990,16830,400,2.38%,51,21369,21.58x,4.6%
2026-08-03,DA-FOOT-ROLL-ON-002,PedicureKit,Flipkart,974,31168,523,1.68%,46,19274,19.79x,5.1%
2026-08-02,DA-FOOT-ROLL-ON-002,PedicureKit,Meesho,309,5253,203,3.86%,7,2933,9.49x,10.5%
2026-08-01,DA-FOOT-ROLL-ON-002,PedicureKit,Myntra,1073,34336,1008,2.94%,107,44833,41.78x,2.4%
2026-07-31,DA-FOOT-ROLL-ON-002,PedicureKit,Own Website,635,11430,512,4.48%,41,17179,27.05x,3.7%
2026-07-30,DA-FOOT-ROLL-ON-002,PedicureKit,Amazon,776,28712,876,3.05%,77,32263,41.58x,2.4%
2026-07-29,DA-FOOT-ROLL-ON-002,PedicureKit,Flipkart,725,14500,774,5.34%,98,41062,56.64x,1.8%
2026-07-28,DA-FOOT-ROLL-ON-002,PedicureKit,Meesho,867,19941,322,1.61%,12,5028,5.80x,17.2%
2026-08-11,NSH-RSH-NAFW-GFS-SFS,ComboAndKit,Own Website,246,4428,205,4.63%,22,9218,37.47x,2.7%
2026-08-10,NSH-RSH-NAFW-GFS-SFS,ComboAndKit,Amazon,521,14067,541,3.85%,65,27235,52.27x,1.9%
2026-08-09,NSH-RSH-NAFW-GFS-SFS,ComboAndKit,Flipkart,645,18060,624,3.46%,62,25978,40.28x,2.5%
